r_p,p,Trait1,Trait2,p.adj
0.76,1.7574118310069e-106,DM,Brix,1.15989180846455e-104
0.51,4.80785008130103e-38,a,Brix,3.17318105365868e-36
0.37,7.2144572510714e-20,a,DM,4.76154178570712e-18
-0.36,1.73239551813032e-18,L,Brix,1.14338104196601e-16
-0.16,0.000196539588521498,L,DM,0.0129716128424189
-0.69,7.28703860502663e-82,L,a,4.80944547931757e-80
0.31,9.87552978828718e-14,b,Brix,6.51784966026954e-12
0.48,2.11527209676122e-33,b,DM,1.39607958386241e-31
0.35,3.00815863461293e-17,b,a,1.98538469884453e-15
-0.26,2.44082740468385e-10,b,L,1.61094608709134e-08
-0.051,0.225597764704021,Length,Brix,1
-0.015,0.720664170069267,Length,DM,1
0.0094,0.823584484592583,Length,a,1
-0.02,0.629754680811349,Length,L,1
0.0069,0.870852877503569,Length,b,1
-0.013,0.75063839870191,Width,Brix,1
-0.038,0.367950336626351,Width,DM,1
-0.079,0.0613488152948509,Width,a,1
0.071,0.0905723505823002,Width,L,1
0.09,0.0323588704846056,Width,b,1
0.33,3.94588743069867e-16,Width,Length,2.60428570426112e-14
0.065,0.124802300187199,Weight,Brix,1
0.07,0.0944587791927218,Weight,DM,1
-0.033,0.434946938601694,Weight,a,1
0.037,0.374721080358354,Weight,L,1
0.19,8.05306693182235e-06,Weight,b,0.000531502417500275
0.51,1.70846537539137e-38,Weight,Length,1.1275871477583e-36
0.83,6.37352012031728e-145,Weight,Width,4.2065232794094e-143
-0.034,0.421549766506775,Shape,Brix,1
0.014,0.731796050194983,Shape,DM,1
0.065,0.121041501229978,Shape,a,1
-0.073,0.0831340189645272,Shape,L,1
-0.058,0.170671644609978,Shape,b,1
0.73,1.69764277101684e-95,Shape,Length,1.12044422887111e-93
-0.39,3.35204334192907e-22,Shape,Width,2.21234860567319e-20
-0.1,0.016747656795614,Shape,Weight,1
-0.16,0.000139659410397145,TotalFrtCt,Brix,0.00921752108621156
-0.14,0.000632975587767473,TotalFrtCt,DM,0.0417763887926532
-0.11,0.00894095858789275,TotalFrtCt,a,0.590103266800922
0.14,0.000871938943421737,TotalFrtCt,L,0.0575479702658346
-0.069,0.104018303700418,TotalFrtCt,b,1
-0.053,0.20758432262685,TotalFrtCt,Length,1
-0.14,0.00103624224811036,TotalFrtCt,Width,0.0683919883752836
-0.2,2.90814593944133e-06,TotalFrtCt,Weight,0.000191937632003128
0.04,0.342317172719739,TotalFrtCt,Shape,1
-0.11,0.00924506725623385,TotalWtKg,Brix,0.610174438911434
-0.098,0.0198497160045316,TotalWtKg,DM,1
-0.11,0.00725994263239727,TotalWtKg,a,0.47915621373822
0.12,0.00322803403012772,TotalWtKg,L,0.213050245988429
0.03,0.479066112851754,TotalWtKg,b,1
0.18,2.63790464148177e-05,TotalWtKg,Length,0.00174101706337797
0.25,8.80657515575153e-10,TotalWtKg,Width,5.81233960279601e-08
0.27,9.10253752055695e-11,TotalWtKg,Weight,6.00767476356759e-09
-0.017,0.690807857855403,TotalWtKg,Shape,1
0.84,4.95443965877933e-148,TotalWtKg,TotalFrtCt,3.26993017479436e-146
0.19,6.00671945846757e-06,Y3,Brix,0.00039644348425886
0.28,1.57255581594288e-11,Y3,DM,1.0378868385223e-09
0.036,0.387199674079784,Y3,a,1
0.04,0.345691223632628,Y3,L,1
0.22,2.41655907145254e-07,Y3,b,1.59492898715868e-05
0.17,5.81191997993946e-05,Y3,Length,0.00383586718676005
0.24,6.87473512985429e-09,Y3,Width,4.53732518570383e-07
0.3,7.43000797902432e-13,Y3,Weight,4.90380526615605e-11
-0.014,0.737358702051367,Y3,Shape,1
0.74,6.55768599948024e-98,Y3,TotalFrtCt,4.32807275965696e-96
0.91,1.32543335498376e-223,Y3,TotalWtKg,8.74786014289281e-222
