Name,Number,Weight (kg)
69,32,23.1
30,15,17
83,15,13.3
155,9,7.75
62,19,19.1
81,15,14
156,6,6.4
Amb_Del_1,18,17.75
166,21,17.8
51,21,13.81
102,23,14.9
170,18,16
21,28,20.9
154,20,14.7
24,18,16.85
164,17,13.1
Honeynut_2,21,9.25
86,13,11.55
100,15,13.15
46,16,10.35
Honeynut_3,26,13.85
17,15,10.81
Amber_Del_9,13,16.4
77,11,11.5
180,22,20.5
167,14,13.2
110,11,9.35
Bugle_10,6,5.55
54,25,16.3
190,12,12.9
45,16,16.25
101,16,13.6
37,15,16.8
2,15,13.4
88,23,20.81
184,19,19.25
28,18,13.6
70,27,18.05
149,12,9.95
94,23,17.3
145,30,21.45
163,14,11.1
52,17,14.85
34,22,17.4
82,11,11.1
19,18,10.8
157,15,18.75
150,16,11.45
Honeynut_9,16,9.5
146,15,10.7
26,16,10.8
161,15,12.65
84,16,12.05
174,16,14.9
139,16,10.25
42,12,13.15
4,20,16.35
63,26,23.1
182,16,12.85
148,22,12.1
136,21,18.8
188,19,17.3
122,20,13.35
49,32,24.75
6,18,17
47,28,25.25
120,29,26.1
Honeynut_11,25,11.35
Honeynut_7,12,5.7
Bugle_8,7,6.1
9,17,15.1
89,12,13.95
151,18,17
Bugle_6,6,7.05
92,18,14.3
Bugle_2,17,14.34
153,14,8.15
177,14,11
103,18,13.2
85,20,21
32,13,14.25
Honeynut_10,13,6.1
Honeynut_5,11,5.8
178,18,18.7
123,18,12.55
179,15,15.15
189,12,11.8
53,22,13.1
40,28,23.85
140,17,12.65
141,9,10.4
108,11,9.45
59,21,16.85
171,25,21.3
Bugle_9,8,9.6
96,18,14.05
98,15,12.25
73,34,20.3
Bulge_5,11,12.85
158,19,18.35
Honeynut_1,15,9.1
57,19,14.35
27,18,14.7
16,16,12.95
31,23,16.7
55,14,11.45
109,15,15.05
116,10,6.4
192,14,15.65
147,11,8.85
119,11,10.05
25,27,20.65
87,17,11.85
8,13,15.55
11,15,11.8
185,13,12.1
79,14,11.55
Amb_Del_4,21,21.05
106,22,14.3
5,9,7.45
15,22,16.2
60,19,15.6
137,14,14.35
165,17,11.85
78,17,13.5
71,8,6.05
29,21,17.7
20,22,18.35
105,20,15
117,17,13.3
138,12,9.7
111,14,10.7
97,12,12.5
23,11,7.1
48,16,13.35
160,12,12.2
58,20,14.15
80,24,21.8
169,16,10.7
168,19,17.6
107,17,15.75
135,26,11.8
66,11,9.25
124,21,14.9
172,20,16.4
Amb_Del_7,18,19.45
131,20,12.85
114,14,14.9
64,17,17.7
118,16,14.1
187,17,15.15
93,23,16.85
133,26,21.05
183,17,8.15
Honeynut_8,27,13.3
Amb_Del_8,18,18.45
181,23,19.65
56,17,16.95
130,26,22.3
125,24,17.35
176,26,21.5
128,21,15.95
67,21,18.5
115,20,19.15
Amb_Del_3,24,26.6
129,5,3.1
Bugle_4,11,12.25
14,16,12.65
191,14,16.1
Bugle_7,5,4.9
10,24,18.05
Honeynut_4,20,8.35
18,24,22.95
159,22,16.4
33,18,13.3
22,21,23.7
152,15,15.75
Amb_Del_6,25,26.25
50,15,16.9
144,9,8
162,14,13.7
Amb_Del_5,22,21.2
Bugle_1,5,6
Amb_Del_2,28,24.8
Amb_Del_10,14,14.1
61,17,17.25
75,25,21.45
74,12,10.15
76,24,18.05
91,15,10.95
Bugle_3,12,11.45
44,13,11.2
35,25,27.25
142,7,6.2
126,17,13.85
132,18,15.95
Bugle_11,11,10.7
121,13,8.8
7,29,28.5
175,24,19.1
65,21,13.85
41,12,11.45
