Gid,TotalCount,TotalWeight
GS3_101,31,17.17
GS3_139,11,9.14
GS3_92,16,11.8
GS3_128,22,18.32
GS3_143,9,9.93
GS3_147,13,7.85
GS3_94,15,11.33
GS3_93,6,4.92
GS3_220,15,9.08
GS3_233,25,18.42
GS3_95,15,12.02
GS3_211,16,10.89
GS3_127,21,15.1
GS3_218,14,7.97
GS3_105,11,6.99
GS3_96,16,11.2
GS3_217,19,12.44
GS3_98,28,19.83
GS3_212,17,15.01
GS3_226,14,11.18
GS3_146,16,15.2
GS3_214,21,15.25
GS3_136,15,8.22
GS3_137,19,11.44
GS3_142,19,14.55
GS3_140,8,5.19
GS3_97,23,14.28
GS3_160,15,10.63
GS3_138,19,11.09
GS3_213,24,16.86
GS3_219,28,21.8
GS3_73,16,11.6
GS3_100,19,10.38
GS3_216,12,9.6
GS3_109,17,11.7
GS3_99,12,8.44
GS3_232,13,7.15
GS3_117,19,11.19
GS3_120,24,15.37
GS3_182,17,14.81
GS3_195,15,7.29
GS3_159,18,11.41
GS3_132,30,21.98
GS3_145,21,14.51
GS3_190,17,13.01
GS3_189,10,7.83
GS3_61,11,9.85
GS3_208,16,10.72
GS3_183,15,9.95
GS3_188,11,8.15
GS3_194,19,10.31
GS3_184,15,11.25
GS3_65,16,12.91
GS3_186,18,9.81
GS3_199,26,19.3
GS3_198,13,7.62
GS3_185,14,8.08
GS3_129,11,6.68
GS3_215,6,4.73
GS3_179,14,8.9
GS3_144,21,12.37
GS3_192,23,14.31
GS3_111,18,11.33
GS3_102,11,8.83
GS3_158,12,7.23
GS3_113,14,12.61
GS3_106,34,18.29
GS3_231,17,12.48
GS3_70,17,11.75
GS3_141,17,9.86
GS3_135,21,12.62
GS3_134,19,12.15
GS3_234,13,7.25
GS3_133,16,11.52
GS3_223,8,4.65
GS3_221,11,9.12
GS3_104,13,9.02
GS3_115,10,9.33
GS3_225,17,10.52
GS3_125,23,17.73
GS3_224,20,11.93
GS3_103,28,20.72
GS3_181,12,7.23
GS3_86,6,3.58
GS3_154,8,5.64
GS3_187,23,15.99
GS3_210,18,11.09
GS3_201,12,8.59
GS3_150,16,10.81
GS3_206,26,14.17
GS3_196,19,12.27
GS3_204,8,7.5
GS3_197,14,7.02
GS3_90,14,11.38
GS3_207,10,9.86
GS3_87,16,11.13
GS3_88,27,21.46
GS3_89,5,4.36
GS3_191,19,6.68
GS3_152,20,10.83
GS3_153,21,13.98
GS3_193,16,8.84
GS3_202,13,10.53
GS3_167,12,11.21
GS3_149,11,8.65
GS3_200,13,11.9
GS3_180,29,21.71
GS3_116,20,12.72
GS3_227,13,10.03
GS3_228,13,10.47
GS3_229,12,10.8
GS3_75,19,11.6
GS3_114,19,12.63
GS3_121,21,11.13
GS3_124,12,8.28
GS3_107,27,17.21
GS3_131,26,17.28
GS3_110,12,7.75
GS3_112,14,12.4
GS3_230,15,7.48
GS3_122,17,7.5
GS3_108,19,9.85
GS3_126,20,12.75
GS3_123,11,8.3
GS3_71,12,9.77
GS3_222,18,15.25
GS3_64,11,9.15
GS3_130,8,4.46
GS3_51,19,10.96
GS3_3,17,9.26
GS3_52,9,7.02
GS3_49,20,14.27
GS3_42,11,8.17
GS3_56,18,10.37
GS3_54,15,11.19
GS3_53,29,17.22
GS3_36,16,13.37
GS3_69,13,5.47
GS3_24,9,6.79
GS3_165,10,7.35
GS3_172,12,8.46
GS3_78,16,14.66
GS3_23,16,12.61
GS3_18,35,18.39
GS3_28,26,16.84
GS3_45,7,5.69
GS3_46,9,5.98
GS3_6,16,10.15
GS3_5,20,9.28
GS3_20,26,14.77
GS3_11,22,14.84
GS3_27,9,7.38
GS3_33,25,8.64
GS3_22,10,4.98
GS3_43,17,14.14
GS3_26,11,7.22
GS3_38,8,4.69
GS3_7,18,13.05
GS3_39,18,12.85
GS3_35,17,11.34
GS3_44,23,10.91
GS3_48,7,3.64
GS3_15,15,10.79
GS3_19,4,2.55
GS3_37,9,4.88
GS3_58,20,13.27
GS3_32,8,5.31
GS3_10,6,3.32
GS3_17,12,9.78
GS3_57,11,8.15
GS3_155,17,11.89
GS3_84,15,9.64
GS3_169,20,16.68
GS3_76,19,12.18
GS3_74,23,13.65
GS3_72,11,10.12
GS3_209,5,4.63
GS3_83,21,14.45
GS3_162,11,6.05
GS3_156,6,5.43
GS3_161,6,5.6
GS3_63,15,9.49
GS3_151,16,8.8
GS3_91,24,12.13
GS3_164,24,16.5
GS3_170,10,9.34
GS3_85,21,14.86
GS3_205,21,15.76
GS3_157,18,11.57
GS3_81,23,16.59
GS3_21,18,9.19
GS3_2,22,12.24
GS3_16,27,13.16
GS3_41,17,11.58
GS3_31,6,5.18
GS3_47,24,17.47
GS3_55,24,11.74
GS3_34,24,17.64
GS3_29,18,11.14
GS3_50,18,12.73
GS3_30,17,12.89
GS3_12,11,9.42
GS3_40,22,14.56
GS3_25,16,9.25
GS3_8,5,2.43
GS3_9,26,15.01
GS3_4,16,9.46
GS3_13,21,11.9
GS3_14,13,9.08
GS3_77,18,10.51
GS3_163,16,11.11
GS3_66,7,5.45
GS3_174,26,15.52
GS3_176,12,7.1
GS3_62,11,7.62
GS3_168,9,4.45
GS3_166,15,10.39
GS3_67,11,8.61
GS3_79,7,3.87
GS3_68,18,11.51
GS3_175,10,7.84
GS3_173,7,4.27
GS3_171,8,5.67
GS3_80,11,10.85
GS3_148,15,11.46
GS3_82,9,5.15
GS3_203,20,10.18
