"","rowSums(asremlPred)"
"GS4_130",5.56322443670534
"GS4_33",4.77181937666077
"GS4_116",4.4582555367527
"GS4_45",4.45517661565664
"GS4_102",3.91484937032751
"GS4_15",3.84517394125529
"GS4_59",3.82906151074041
"GS4_125",3.68216791694455
"GS4_158",3.46580673084011
"GS4_55",3.44739283616731
"GS4_23",3.34019773591377
"GS4_60",3.14598007538497
"GS4_117",3.12678773587352
"GS4_83",3.06752069696894
"GS4_18",3.05149385773014
"GS4_14",3.05043056038491
"GS4_81",3.03243155638579
"GS4_21",2.95358062106553
"GS4_172",2.95130203258005
"GS4_20",2.87278257275956
"GS4_80",2.85294270336541
"GS4_183",2.83024779240012
"GS4_30",2.82313878024115
"GS4_22",2.80117081977259
"GS4_106",2.7126457544933
"GS4_168",2.69926986166806
"GS4_174",2.6504090627579
"GS4_88",2.55646816229208
"GS4_101",2.48766097827927
"GS4_46",2.38511078023132
